step,train_loss,train_accuracy,test_accuracy
0,2.307973861694336,0.15,0.1255
100,2.2259435653686523,0.235,0.2503
200,2.1686134338378906,0.295,0.2965
300,2.1447670459747314,0.305,0.3299
400,2.0918991565704346,0.355,0.332
500,2.0841379165649414,0.375,0.3453
600,2.093107223510742,0.36,0.3602
700,2.0721213817596436,0.39,0.3641
800,2.0959253311157227,0.365,0.3724
900,2.04007887840271,0.425,0.3775
1000,1.988352656364441,0.47,0.3781
1100,2.0619165897369385,0.395,0.3914
1200,2.0635573863983154,0.4,0.3961
1300,2.1064584255218506,0.345,0.3982
1400,2.063441276550293,0.39,0.4088
1499,2.104830026626587,0.355,0.4116
